dt,gender,age,chainname,number_visit
2015-07-08,female,65_plus,Chick-fil-A,62
2015-07-08,male,65_plus,Chick-fil-A,62
2015-07-08,female,65_plus,Popeyes Louisiana Kitchen,14
2015-07-08,female,Under_18,Popeyes Louisiana Kitchen,1
2015-07-08,male,25_34,Chick-fil-A,809
2015-07-08,male,55_64,Chick-fil-A,188
2015-07-08,female,55_64,Chick-fil-A,165
2015-07-08,male,35_44,Chick-fil-A,881
2015-07-08,female,18_24,Popeyes Louisiana Kitchen,27
2015-07-08,male,55_64,Popeyes Louisiana Kitchen,53
2015-07-08,female,55_64,Popeyes Louisiana Kitchen,29
2015-07-08,female,Under_18,Chick-fil-A,7
2015-07-08,female,18_24,Chick-fil-A,191
2015-07-09,male,25_34,Chick-fil-A,811
2015-07-09,female,25_34,Chick-fil-A,845
2015-07-09,male,55_64,Chick-fil-A,186
2015-07-09,female,Under_18,Popeyes Louisiana Kitchen,1
2015-07-09,male,18_24,Popeyes Louisiana Kitchen,37
2015-07-09,female,45_54,Popeyes Louisiana Kitchen,93
2015-07-09,female,55_64,Popeyes Louisiana Kitchen,27
2015-07-09,male,35_44,Chick-fil-A,913
2015-07-09,female,65_plus,Chick-fil-A,56
2015-07-09,male,25_34,Popeyes Louisiana Kitchen,272
2015-07-09,male,45_54,Popeyes Louisiana Kitchen,109
2015-07-09,female,35_44,Chick-fil-A,743
2015-07-09,male,45_54,Chick-fil-A,530
2015-07-09,male,65_plus,Popeyes Louisiana Kitchen,22
2015-07-09,female,25_34,Popeyes Louisiana Kitchen,193
2015-07-09,female,35_44,Popeyes Louisiana Kitchen,139
2015-07-09,female,45_54,Chick-fil-A,399
2015-07-09,female,18_24,Chick-fil-A,179
2015-07-09,male,65_plus,Chick-fil-A,61
2015-07-09,female,55_64,Chick-fil-A,180
2015-07-09,female,Under_18,Chick-fil-A,8
2015-07-09,female,65_plus,Popeyes Louisiana Kitchen,15
2015-07-09,female,18_24,Popeyes Louisiana Kitchen,31
2015-07-09,male,35_44,Popeyes Louisiana Kitchen,250
2015-07-09,male,Under_18,Chick-fil-A,5
2015-07-09,male,18_24,Chick-fil-A,146
2015-07-09,male,55_64,Popeyes Louisiana Kitchen,47
2015-07-10,male,Under_18,Popeyes Louisiana Kitchen,3
2015-07-10,male,45_54,Popeyes Louisiana Kitchen,149
2015-07-10,female,35_44,Chick-fil-A,747
2015-07-10,female,55_64,Popeyes Louisiana Kitchen,39
2015-07-10,male,Under_18,Chick-fil-A,3
2015-07-10,female,Under_18,Chick-fil-A,12
2015-07-10,female,45_54,Chick-fil-A,465
2015-07-10,male,55_64,Chick-fil-A,187
2015-07-10,female,25_34,Chick-fil-A,969
2015-07-10,female,35_44,Popeyes Louisiana Kitchen,148
2015-07-10,male,18_24,Popeyes Louisiana Kitchen,40
2015-07-10,female,65_plus,Chick-fil-A,75
2015-07-10,female,45_54,Popeyes Louisiana Kitchen,64
2015-07-10,male,45_54,Chick-fil-A,585
2015-07-10,female,65_plus,Popeyes Louisiana Kitchen,10
2015-07-10,male,25_34,Chick-fil-A,917
